Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
500.0,303.0,50.0,181.0,500.0,174.0,500.0,379.0,500.0,500.0
496.0,475.0,69.0,180.0,500.0,333.0,500.0,277.0,500.0,500.0
500.0,291.0,91.0,179.0,500.0,265.0,500.0,387.0,500.0,397.0
283.0,500.0,25.0,144.0,500.0,140.0,500.0,134.0,500.0,500.0
500.0,500.0,432.0,162.0,500.0,383.0,500.0,500.0,500.0,323.0
500.0,500.0,73.0,179.0,500.0,326.0,500.0,234.0,500.0,335.0
500.0,500.0,395.0,217.0,500.0,218.0,500.0,274.0,500.0,500.0
500.0,500.0,391.0,319.0,500.0,248.0,500.0,371.0,500.0,500.0
500.0,500.0,500.0,191.0,500.0,388.0,500.0,333.0,500.0,500.0
500.0,500.0,500.0,357.0,500.0,500.0,500.0,149.0,500.0,500.0
500.0,500.0,500.0,227.0,500.0,300.0,500.0,82.0,500.0,468.0
500.0,500.0,500.0,421.0,500.0,433.0,500.0,134.0,500.0,137.0
500.0,500.0,500.0,201.0,500.0,204.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,379.0,500.0,151.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,176.0,500.0,155.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,240.0,500.0,159.0,500.0,500.0,500.0,425.0
500.0,500.0,500.0,272.0,500.0,276.0,500.0,221.0,500.0,500.0
500.0,500.0,500.0,339.0,500.0,220.0,500.0,125.0,500.0,500.0
500.0,500.0,500.0,273.0,478.0,217.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,147.0,359.0,162.0,500.0,250.0,500.0,500.0
500.0,500.0,500.0,156.0,373.0,357.0,500.0,352.0,500.0,500.0
319.0,500.0,500.0,209.0,433.0,268.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,233.0,500.0,184.0,500.0,457.0,500.0,500.0
500.0,500.0,500.0,128.0,500.0,263.0,500.0,463.0,500.0,200.0
250.0,500.0,500.0,159.0,500.0,296.0,500.0,320.0,500.0,500.0
500.0,500.0,500.0,235.0,500.0,283.0,500.0,202.0,500.0,458.0
500.0,500.0,500.0,181.0,500.0,201.0,500.0,203.0,500.0,500.0
500.0,500.0,500.0,201.0,500.0,184.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,282.0,500.0,339.0,500.0,324.0,500.0,261.0
500.0,500.0,500.0,221.0,500.0,248.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,151.0,500.0,387.0,500.0,390.0,261.0,466.0
500.0,500.0,500.0,139.0,500.0,397.0,500.0,500.0,500.0,232.0
478.0,500.0,500.0,211.0,500.0,242.0,500.0,442.0,500.0,495.0
500.0,500.0,500.0,329.0,500.0,241.0,500.0,143.0,500.0,500.0
500.0,500.0,500.0,174.0,500.0,204.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,151.0,500.0,182.0,500.0,405.0,500.0,500.0
500.0,500.0,500.0,167.0,500.0,392.0,500.0,448.0,500.0,500.0
409.0,500.0,500.0,231.0,500.0,354.0,500.0,485.0,500.0,368.0
500.0,500.0,126.0,316.0,500.0,500.0,500.0,312.0,500.0,500.0
500.0,500.0,147.0,145.0,500.0,406.0,500.0,33.0,500.0,500.0
500.0,500.0,157.0,188.0,500.0,145.0,500.0,327.0,500.0,500.0
500.0,500.0,132.0,117.0,500.0,311.0,500.0,129.0,500.0,500.0
328.0,500.0,138.0,171.0,500.0,340.0,500.0,257.0,500.0,283.0
500.0,500.0,500.0,139.0,500.0,442.0,500.0,341.0,500.0,500.0
500.0,500.0,328.0,202.0,500.0,183.0,500.0,210.0,500.0,434.0
500.0,500.0,500.0,201.0,500.0,294.0,500.0,212.0,500.0,500.0
336.0,500.0,500.0,242.0,500.0,441.0,500.0,451.0,500.0,500.0
500.0,500.0,500.0,188.0,500.0,208.0,500.0,223.0,500.0,500.0
500.0,500.0,500.0,173.0,500.0,172.0,228.0,500.0,500.0,500.0
500.0,500.0,500.0,195.0,500.0,244.0,317.0,500.0,500.0,500.0
500.0,500.0,500.0,182.0,500.0,372.0,353.0,254.0,500.0,500.0
357.0,500.0,500.0,176.0,500.0,154.0,393.0,214.0,500.0,500.0
500.0,500.0,500.0,191.0,500.0,226.0,318.0,247.0,500.0,500.0
500.0,500.0,500.0,180.0,308.0,500.0,500.0,337.0,500.0,500.0
500.0,500.0,500.0,121.0,500.0,364.0,500.0,316.0,500.0,500.0
500.0,500.0,500.0,242.0,314.0,240.0,342.0,228.0,500.0,500.0
500.0,500.0,500.0,225.0,214.0,398.0,500.0,497.0,500.0,500.0
500.0,500.0,449.0,127.0,500.0,500.0,372.0,305.0,500.0,500.0
500.0,500.0,500.0,163.0,500.0,175.0,500.0,412.0,500.0,500.0
500.0,500.0,500.0,208.0,500.0,148.0,500.0,262.0,500.0,358.0
500.0,500.0,500.0,224.0,500.0,500.0,500.0,258.0,500.0,500.0
500.0,500.0,500.0,259.0,500.0,427.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,112.0,500.0,272.0,500.0,426.0,500.0,500.0
500.0,500.0,500.0,149.0,388.0,172.0,500.0,151.0,500.0,500.0
500.0,500.0,500.0,265.0,359.0,360.0,500.0,232.0,500.0,500.0
500.0,500.0,500.0,202.0,406.0,500.0,430.0,193.0,500.0,500.0
500.0,500.0,500.0,196.0,263.0,338.0,500.0,348.0,500.0,278.0
500.0,500.0,500.0,209.0,500.0,500.0,500.0,301.0,500.0,500.0
500.0,500.0,500.0,249.0,148.0,165.0,500.0,483.0,500.0,500.0
500.0,500.0,500.0,123.0,261.0,249.0,500.0,242.0,500.0,500.0
500.0,500.0,500.0,106.0,398.0,274.0,500.0,306.0,500.0,500.0
500.0,500.0,500.0,154.0,352.0,500.0,500.0,500.0,500.0,483.0
500.0,500.0,294.0,219.0,491.0,225.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,178.0,500.0,500.0,500.0,473.0,500.0,500.0
500.0,500.0,500.0,145.0,500.0,145.0,500.0,279.0,500.0,500.0
500.0,500.0,500.0,159.0,500.0,253.0,500.0,371.0,500.0,307.0
500.0,500.0,500.0,246.0,500.0,177.0,500.0,390.0,500.0,500.0
500.0,500.0,376.0,153.0,500.0,224.0,420.0,500.0,500.0,500.0
500.0,500.0,80.0,293.0,500.0,500.0,500.0,350.0,500.0,156.0
500.0,500.0,128.0,290.0,500.0,236.0,500.0,355.0,500.0,500.0
500.0,500.0,70.0,218.0,500.0,324.0,500.0,281.0,500.0,500.0
500.0,500.0,60.0,242.0,500.0,429.0,500.0,354.0,500.0,500.0
500.0,500.0,148.0,184.0,500.0,218.0,500.0,311.0,500.0,500.0
500.0,500.0,283.0,134.0,500.0,500.0,500.0,119.0,500.0,500.0
500.0,500.0,424.0,296.0,500.0,350.0,500.0,138.0,500.0,485.0
500.0,500.0,67.0,180.0,500.0,165.0,500.0,500.0,500.0,123.0
500.0,500.0,500.0,136.0,500.0,164.0,500.0,319.0,500.0,500.0
500.0,500.0,202.0,165.0,500.0,182.0,500.0,332.0,500.0,326.0
500.0,500.0,500.0,120.0,500.0,166.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,322.0,500.0,172.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,163.0,500.0,153.0,500.0,150.0,500.0,500.0
500.0,500.0,500.0,120.0,500.0,126.0,500.0,500.0,500.0,438.0
500.0,500.0,500.0,122.0,500.0,136.0,500.0,335.0,500.0,500.0
500.0,500.0,500.0,242.0,347.0,148.0,500.0,127.0,500.0,500.0
500.0,500.0,500.0,222.0,360.0,131.0,500.0,380.0,500.0,500.0
500.0,500.0,500.0,225.0,382.0,329.0,500.0,293.0,500.0,500.0
500.0,340.0,500.0,252.0,500.0,436.0,500.0,500.0,500.0,500.0
460.0,500.0,500.0,196.0,500.0,273.0,500.0,358.0,500.0,500.0
500.0,500.0,500.0,187.0,500.0,165.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,133.0,500.0,150.0,500.0,422.0,500.0,500.0
500.0,500.0,500.0,362.0,500.0,151.0,500.0,240.0,500.0,500.0
500.0,500.0,500.0,230.0,500.0,280.0,500.0,312.0,500.0,500.0
500.0,500.0,500.0,389.0,500.0,218.0,500.0,396.0,500.0,372.0
199.0,500.0,500.0,249.0,500.0,142.0,500.0,500.0,500.0,234.0
500.0,500.0,500.0,230.0,500.0,134.0,500.0,226.0,500.0,500.0
500.0,500.0,500.0,224.0,500.0,168.0,500.0,134.0,500.0,403.0
500.0,500.0,500.0,186.0,500.0,190.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,355.0,500.0,219.0,500.0,135.0,500.0,384.0
500.0,500.0,500.0,331.0,500.0,285.0,500.0,338.0,500.0,500.0
500.0,500.0,500.0,236.0,500.0,185.0,500.0,500.0,500.0,430.0
500.0,500.0,500.0,280.0,500.0,139.0,500.0,144.0,500.0,131.0
500.0,500.0,500.0,185.0,500.0,172.0,500.0,500.0,500.0,223.0
500.0,500.0,500.0,206.0,500.0,386.0,500.0,500.0,500.0,398.0
500.0,500.0,500.0,267.0,500.0,206.0,500.0,360.0,500.0,500.0
500.0,500.0,500.0,260.0,500.0,310.0,500.0,485.0,500.0,500.0
500.0,500.0,257.0,217.0,500.0,302.0,500.0,173.0,500.0,500.0
500.0,500.0,500.0,225.0,500.0,220.0,500.0,148.0,500.0,500.0
500.0,500.0,500.0,288.0,500.0,254.0,500.0,500.0,500.0,500.0
500.0,500.0,135.0,129.0,500.0,227.0,500.0,368.0,500.0,500.0
500.0,500.0,136.0,327.0,500.0,375.0,500.0,257.0,500.0,500.0
500.0,500.0,139.0,500.0,500.0,477.0,500.0,172.0,500.0,500.0
486.0,500.0,136.0,245.0,500.0,185.0,500.0,500.0,500.0,491.0
500.0,500.0,159.0,207.0,500.0,212.0,500.0,411.0,500.0,140.0
500.0,500.0,174.0,227.0,500.0,282.0,500.0,322.0,500.0,500.0
500.0,500.0,413.0,246.0,500.0,184.0,500.0,417.0,500.0,500.0
500.0,500.0,262.0,87.0,500.0,500.0,500.0,311.0,500.0,500.0
500.0,500.0,135.0,427.0,500.0,327.0,500.0,476.0,500.0,500.0
500.0,500.0,204.0,313.0,500.0,287.0,500.0,186.0,500.0,500.0
500.0,500.0,272.0,293.0,500.0,162.0,500.0,341.0,500.0,500.0
500.0,500.0,500.0,244.0,500.0,217.0,500.0,409.0,500.0,500.0
500.0,500.0,395.0,136.0,500.0,174.0,500.0,298.0,500.0,500.0
500.0,500.0,500.0,438.0,500.0,180.0,500.0,432.0,500.0,500.0
500.0,299.0,500.0,135.0,500.0,475.0,500.0,445.0,500.0,500.0
500.0,500.0,500.0,236.0,500.0,221.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,122.0,500.0,150.0,500.0,195.0,500.0,500.0
500.0,500.0,500.0,270.0,500.0,250.0,500.0,152.0,500.0,384.0
500.0,500.0,500.0,221.0,500.0,151.0,500.0,171.0,500.0,500.0
500.0,500.0,500.0,227.0,500.0,218.0,500.0,266.0,500.0,500.0
500.0,500.0,500.0,116.0,291.0,143.0,500.0,164.0,500.0,500.0
500.0,500.0,500.0,45.0,325.0,180.0,500.0,295.0,500.0,500.0
500.0,500.0,500.0,460.0,319.0,154.0,500.0,295.0,500.0,500.0
500.0,500.0,500.0,299.0,260.0,74.0,500.0,370.0,500.0,500.0
500.0,500.0,500.0,155.0,301.0,173.0,500.0,439.0,500.0,500.0
500.0,500.0,500.0,290.0,315.0,139.0,500.0,385.0,500.0,500.0
500.0,500.0,500.0,118.0,307.0,200.0,500.0,164.0,500.0,500.0
500.0,500.0,500.0,239.0,353.0,500.0,500.0,232.0,500.0,500.0
500.0,500.0,500.0,338.0,346.0,236.0,500.0,315.0,500.0,500.0
500.0,500.0,500.0,270.0,500.0,123.0,500.0,225.0,500.0,431.0
500.0,500.0,500.0,127.0,500.0,152.0,500.0,326.0,500.0,500.0
500.0,500.0,500.0,252.0,500.0,227.0,500.0,371.0,500.0,500.0
500.0,500.0,500.0,249.0,500.0,169.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,230.0,500.0,500.0,500.0,362.0,500.0,500.0
500.0,500.0,500.0,173.0,500.0,500.0,500.0,217.0,500.0,500.0
500.0,500.0,500.0,241.0,500.0,142.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,194.0,500.0,329.0,500.0,360.0,500.0,500.0
500.0,500.0,500.0,174.0,500.0,410.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,179.0,500.0,169.0,500.0,311.0,500.0,500.0
500.0,500.0,500.0,136.0,500.0,286.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,226.0,500.0,500.0,500.0,226.0,500.0,500.0
500.0,500.0,500.0,111.0,500.0,226.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,276.0,500.0,256.0,500.0,500.0,500.0,454.0
500.0,500.0,500.0,188.0,500.0,244.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,96.0,500.0,324.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,136.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,282.0,500.0,500.0,500.0,459.0,500.0,486.0
500.0,500.0,500.0,272.0,500.0,393.0,500.0,479.0,500.0,379.0
500.0,500.0,500.0,278.0,500.0,403.0,500.0,500.0,500.0,267.0
500.0,500.0,500.0,204.0,500.0,140.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,243.0,500.0,500.0,500.0,330.0,500.0,500.0
500.0,500.0,500.0,372.0,500.0,303.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,185.0,500.0,295.0,500.0,216.0,500.0,500.0
500.0,500.0,500.0,152.0,500.0,500.0,500.0,363.0,500.0,500.0
500.0,500.0,500.0,155.0,500.0,224.0,500.0,199.0,500.0,500.0
500.0,500.0,500.0,129.0,369.0,237.0,500.0,178.0,500.0,500.0
500.0,500.0,500.0,324.0,425.0,230.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,374.0,500.0,201.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,252.0,470.0,500.0,500.0,181.0,500.0,500.0
500.0,500.0,500.0,281.0,428.0,165.0,500.0,500.0,500.0,481.0
500.0,500.0,500.0,320.0,451.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,332.0,500.0,500.0,500.0,325.0,500.0,212.0
500.0,500.0,500.0,239.0,500.0,500.0,500.0,225.0,500.0,500.0
500.0,500.0,500.0,224.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,221.0,500.0,500.0,427.0,342.0,500.0,412.0
500.0,500.0,500.0,140.0,500.0,351.0,500.0,336.0,500.0,471.0
500.0,500.0,500.0,137.0,500.0,500.0,500.0,362.0,500.0,500.0
500.0,381.0,500.0,237.0,500.0,270.0,414.0,438.0,500.0,500.0
500.0,410.0,416.0,332.0,500.0,500.0,500.0,461.0,500.0,500.0
500.0,500.0,132.0,196.0,500.0,206.0,500.0,243.0,500.0,413.0
321.0,500.0,53.0,158.0,500.0,500.0,394.0,485.0,500.0,500.0
500.0,500.0,62.0,301.0,500.0,351.0,453.0,432.0,500.0,290.0
500.0,500.0,28.0,327.0,500.0,500.0,500.0,441.0,500.0,405.0
500.0,173.0,53.0,213.0,500.0,144.0,339.0,201.0,500.0,500.0
500.0,500.0,31.0,500.0,500.0,216.0,500.0,419.0,500.0,500.0
500.0,500.0,28.0,399.0,500.0,311.0,500.0,500.0,500.0,500.0
500.0,500.0,54.0,188.0,500.0,500.0,500.0,346.0,500.0,500.0
500.0,500.0,48.0,280.0,500.0,422.0,500.0,500.0,500.0,456.0
500.0,106.0,30.0,142.0,500.0,184.0,500.0,500.0,500.0,500.0
500.0,500.0,123.0,165.0,500.0,260.0,500.0,500.0,500.0,500.0
500.0,500.0,403.0,161.0,500.0,149.0,500.0,308.0,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,261.0,500.0,500.0
500.0,500.0,500.0,263.0,500.0,500.0,500.0,156.0,500.0,500.0
500.0,500.0,500.0,278.0,500.0,246.0,500.0,247.0,500.0,500.0
500.0,500.0,500.0,301.0,500.0,500.0,500.0,291.0,500.0,500.0
500.0,500.0,500.0,166.0,500.0,500.0,500.0,466.0,500.0,500.0
500.0,500.0,500.0,288.0,500.0,387.0,500.0,494.0,500.0,500.0
500.0,500.0,500.0,490.0,500.0,500.0,500.0,269.0,500.0,500.0
500.0,500.0,500.0,290.0,500.0,251.0,500.0,500.0,500.0,403.0
500.0,500.0,500.0,160.0,500.0,393.0,500.0,260.0,500.0,500.0
500.0,500.0,500.0,305.0,500.0,268.0,500.0,345.0,500.0,500.0
500.0,500.0,500.0,216.0,500.0,435.0,500.0,292.0,500.0,500.0
500.0,500.0,500.0,152.0,500.0,234.0,500.0,500.0,500.0,500.0
230.0,500.0,500.0,146.0,500.0,225.0,500.0,500.0,500.0,83.0
280.0,500.0,500.0,348.0,500.0,298.0,500.0,137.0,500.0,500.0
486.0,500.0,500.0,108.0,500.0,282.0,500.0,500.0,500.0,256.0
500.0,500.0,500.0,221.0,500.0,377.0,500.0,311.0,500.0,500.0
500.0,500.0,500.0,236.0,500.0,181.0,500.0,161.0,500.0,500.0
500.0,500.0,500.0,134.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,310.0,500.0,175.0,500.0,355.0,500.0,500.0
500.0,500.0,500.0,148.0,500.0,290.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,252.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,459.0,500.0,333.0,500.0,211.0,500.0,500.0
440.0,500.0,500.0,303.0,500.0,500.0,500.0,349.0,500.0,428.0
500.0,500.0,500.0,319.0,500.0,486.0,500.0,500.0,500.0,390.0
289.0,500.0,500.0,391.0,500.0,256.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,228.0,500.0,387.0,500.0,481.0,500.0,241.0
251.0,500.0,500.0,206.0,500.0,500.0,500.0,485.0,500.0,500.0
500.0,500.0,500.0,175.0,500.0,151.0,500.0,368.0,500.0,169.0
500.0,500.0,500.0,179.0,500.0,314.0,500.0,248.0,500.0,200.0
478.0,500.0,500.0,215.0,500.0,443.0,500.0,500.0,500.0,500.0
446.0,500.0,500.0,135.0,500.0,500.0,500.0,500.0,500.0,500.0
452.0,500.0,500.0,426.0,500.0,351.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,137.0,500.0,146.0,500.0,500.0,500.0,486.0
247.0,500.0,500.0,145.0,500.0,223.0,500.0,145.0,500.0,500.0
500.0,500.0,500.0,214.0,500.0,445.0,500.0,240.0,500.0,437.0
500.0,500.0,500.0,136.0,500.0,405.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,154.0,500.0,425.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,208.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,127.0,500.0,342.0,500.0,404.0,500.0,500.0
500.0,500.0,500.0,210.0,500.0,156.0,500.0,500.0,500.0,429.0
500.0,500.0,500.0,158.0,500.0,428.0,500.0,500.0,500.0,374.0
500.0,500.0,500.0,203.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,188.0,500.0,500.0,500.0,401.0,500.0,500.0
500.0,500.0,500.0,191.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,150.0,500.0,337.0,500.0,353.0,500.0,262.0
500.0,500.0,500.0,143.0,500.0,500.0,500.0,500.0,500.0,432.0
500.0,500.0,500.0,211.0,500.0,288.0,500.0,314.0,500.0,500.0
500.0,500.0,500.0,220.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,359.0,500.0,483.0,500.0,405.0,500.0,500.0
500.0,500.0,500.0,199.0,500.0,249.0,500.0,395.0,500.0,500.0
500.0,500.0,500.0,232.0,57.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,264.0,110.0,500.0,500.0,291.0,500.0,400.0
500.0,500.0,500.0,125.0,500.0,225.0,500.0,349.0,500.0,500.0
500.0,500.0,500.0,148.0,500.0,275.0,500.0,500.0,500.0,428.0
500.0,500.0,500.0,139.0,500.0,500.0,500.0,416.0,500.0,500.0
500.0,500.0,500.0,155.0,500.0,146.0,500.0,408.0,500.0,500.0
500.0,500.0,500.0,156.0,226.0,500.0,500.0,163.0,500.0,500.0
500.0,500.0,500.0,118.0,17.0,500.0,500.0,249.0,500.0,247.0
500.0,500.0,469.0,201.0,500.0,339.0,500.0,500.0,500.0,500.0
500.0,500.0,136.0,179.0,345.0,332.0,500.0,500.0,500.0,500.0
500.0,500.0,213.0,158.0,500.0,213.0,500.0,500.0,500.0,291.0
500.0,500.0,175.0,202.0,479.0,500.0,500.0,297.0,500.0,369.0
500.0,500.0,195.0,144.0,399.0,267.0,500.0,161.0,500.0,178.0
500.0,500.0,172.0,142.0,17.0,152.0,500.0,500.0,500.0,500.0
500.0,500.0,162.0,212.0,500.0,153.0,500.0,500.0,500.0,243.0
500.0,500.0,182.0,152.0,500.0,387.0,500.0,459.0,500.0,500.0
500.0,500.0,163.0,125.0,500.0,210.0,500.0,338.0,500.0,407.0
500.0,500.0,187.0,281.0,500.0,322.0,500.0,411.0,500.0,432.0
500.0,500.0,166.0,231.0,500.0,457.0,500.0,500.0,500.0,500.0
500.0,500.0,193.0,259.0,18.0,309.0,500.0,500.0,500.0,231.0
500.0,500.0,132.0,215.0,285.0,254.0,500.0,334.0,500.0,500.0
450.0,500.0,159.0,146.0,16.0,280.0,500.0,500.0,500.0,443.0
500.0,500.0,199.0,128.0,350.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,185.0,166.0,284.0,175.0,500.0,500.0,500.0,500.0
500.0,424.0,224.0,137.0,126.0,132.0,500.0,500.0,500.0,500.0
500.0,500.0,280.0,177.0,251.0,500.0,500.0,500.0,500.0,378.0
500.0,500.0,262.0,273.0,265.0,264.0,500.0,500.0,500.0,467.0
500.0,500.0,500.0,427.0,253.0,500.0,500.0,447.0,500.0,500.0
500.0,500.0,500.0,184.0,230.0,377.0,500.0,500.0,500.0,446.0
500.0,500.0,500.0,224.0,226.0,497.0,500.0,447.0,438.0,212.0
500.0,500.0,500.0,217.0,253.0,151.0,500.0,394.0,500.0,500.0
500.0,500.0,500.0,158.0,260.0,476.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,223.0,240.0,234.0,500.0,214.0,500.0,500.0
500.0,500.0,500.0,138.0,19.0,277.0,500.0,500.0,500.0,399.0
500.0,500.0,500.0,500.0,222.0,276.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,135.0,296.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,166.0,269.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,257.0,275.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,203.0,303.0,443.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,419.0,225.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,227.0,358.0,500.0,500.0,259.0,500.0,500.0
295.0,500.0,500.0,269.0,143.0,492.0,500.0,407.0,500.0,500.0
343.0,500.0,500.0,279.0,374.0,191.0,500.0,500.0,500.0,500.0
266.0,500.0,500.0,141.0,438.0,453.0,226.0,500.0,500.0,480.0
500.0,500.0,500.0,223.0,500.0,485.0,500.0,500.0,500.0,500.0
295.0,500.0,500.0,129.0,500.0,406.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,155.0,500.0,500.0,500.0,500.0,500.0,500.0
355.0,500.0,500.0,140.0,500.0,179.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,117.0,500.0,220.0,500.0,500.0,500.0,149.0
500.0,500.0,500.0,194.0,500.0,484.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,133.0,500.0,184.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,155.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,188.0,500.0,500.0,500.0,327.0,500.0,203.0
500.0,359.0,500.0,81.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,241.0,500.0,268.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,126.0,500.0,184.0,500.0,500.0,500.0,458.0
500.0,500.0,500.0,166.0,500.0,500.0,500.0,243.0,500.0,500.0
500.0,215.0,500.0,122.0,500.0,117.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,159.0,500.0,500.0,500.0,500.0,500.0,500.0
378.0,482.0,337.0,255.0,500.0,389.0,500.0,500.0,500.0,500.0
500.0,500.0,270.0,135.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,198.0,210.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,132.0,122.0,500.0,500.0,500.0,500.0,500.0,423.0
500.0,500.0,167.0,148.0,500.0,418.0,500.0,500.0,500.0,500.0
500.0,500.0,153.0,160.0,500.0,278.0,500.0,215.0,500.0,500.0
500.0,500.0,137.0,164.0,500.0,500.0,500.0,500.0,500.0,249.0
500.0,500.0,124.0,45.0,500.0,373.0,500.0,500.0,500.0,500.0
500.0,500.0,143.0,215.0,500.0,500.0,500.0,500.0,373.0,500.0
500.0,335.0,116.0,291.0,500.0,500.0,500.0,391.0,500.0,500.0
500.0,500.0,143.0,162.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,139.0,396.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,122.0,166.0,500.0,179.0,500.0,500.0,500.0,500.0
500.0,500.0,130.0,199.0,500.0,500.0,500.0,500.0,368.0,441.0
500.0,500.0,128.0,156.0,500.0,500.0,500.0,236.0,500.0,500.0
500.0,500.0,134.0,252.0,500.0,345.0,500.0,500.0,364.0,500.0
500.0,500.0,132.0,136.0,500.0,500.0,500.0,500.0,392.0,370.0
500.0,500.0,133.0,158.0,500.0,500.0,500.0,500.0,300.0,500.0
500.0,418.0,147.0,312.0,500.0,264.0,500.0,500.0,327.0,500.0
500.0,500.0,162.0,202.0,500.0,500.0,500.0,500.0,280.0,500.0
500.0,500.0,169.0,235.0,500.0,500.0,500.0,500.0,338.0,500.0
500.0,500.0,163.0,182.0,500.0,500.0,500.0,500.0,230.0,500.0
500.0,500.0,163.0,152.0,500.0,128.0,500.0,476.0,166.0,500.0
500.0,395.0,170.0,193.0,500.0,500.0,500.0,491.0,218.0,247.0
500.0,500.0,155.0,240.0,500.0,500.0,500.0,500.0,189.0,500.0
500.0,500.0,214.0,433.0,500.0,500.0,500.0,500.0,183.0,500.0
500.0,500.0,235.0,173.0,500.0,500.0,500.0,500.0,267.0,500.0
500.0,500.0,234.0,184.0,500.0,500.0,500.0,500.0,376.0,500.0
500.0,500.0,500.0,260.0,500.0,354.0,500.0,311.0,267.0,500.0
500.0,500.0,500.0,145.0,500.0,500.0,500.0,500.0,249.0,500.0
500.0,500.0,500.0,151.0,500.0,500.0,500.0,387.0,305.0,437.0
500.0,500.0,437.0,269.0,500.0,500.0,500.0,500.0,401.0,500.0
500.0,500.0,500.0,198.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,430.0,500.0,500.0,500.0,378.0,484.0,434.0
500.0,500.0,500.0,208.0,500.0,500.0,500.0,462.0,500.0,500.0
500.0,500.0,500.0,136.0,500.0,324.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,267.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,175.0,500.0,231.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,234.0,500.0,500.0,500.0,500.0,500.0,372.0
500.0,500.0,500.0,118.0,500.0,500.0,500.0,500.0,334.0,500.0
